Michigan,,,,,,
Keyword,Grade,,,,,
Religion/Religious,6,World Geography,6 G2.2.1,"Describe the human characteristics of the region under study, including languages, religions, economic system, governmental system, cultural traditions.",,
Religion/Religious,6,World geography,6 G4.1.2,Compare and contrast the gender roles assigned to men and women in different societies.,"Examples may include but are not limited to: how different religions and/or nations assign, expect, or require different roles for men and women, such as who can vote, own property, or hold office. Note that gender roles are culturally defined and vary widely. Within a culture, the majority of traditional roles have varying degrees of acceptance and change over time",
Religion/Religious,6,World geography,G-- G4.1.3,"Describe cultures of the region being studied, including the major languages and religions.",,
Religion/Religious,6,World geography,6 G4.1.4,Explain how culture influences the daily lives of people.,"Examples may include but are not limited to: how people make a living, raise families, educate children and practice their religion in different cultures and communities.",
Religion/Religious,6,world geography,6 C1.1.1,"Compare and contrast different ideas about the purposes of government in different nations, nation-states or governments.","Examples may include but are not limited to: protecting individual rights, promoting the common good, providing economic security, molding the character of citizens, or promoting a particular religion. Purposes may also include keeping an ethnic group or party in power. Governments may include those of nation-states, newly independent states, emerging states, and other governmental entities such as tribal governments.",
Religion/Religious,7,World History and Geography,7 H1.4.1,Describe and use cultural institutions to study an era and a region.,"Examples may include but are not limited to: political and economic institutions, religion and beliefs, science and technology, written language, education, and family structure.",
Religion/Religious,7,World History and Geography,7 W3.2.1,"Identify and describe the core beliefs of major world religions and belief systems, including Hinduism, Judaism, Buddhism, Christianity, Confucianism, Sikhism and Islam.","Examples may include, but are not limited to: comparing major figures, sacred texts, and basic beliefs (ethnic vs. universalizing; monotheistic vs. polytheistic) among religions; case studies of continuity of local indigenous belief systems or animistic religions; comparisons with religious traditions that developed after 1500 CE such as Protestantism.",
Religion/Religious,7,World History and Geography,8 W3.2.2,Locate the geographical center of major religions and map the spread through 1500 CE.,,
Religion/Religious,8,US History,8 U4.3.5,Investigate the role of religion in shaping antebellum reform movements,,
Religion/Religious,7,World History and Geography,7-- W3.1.1,Describe the characteristics that classical civilizations share.,"Examples may include but are not limited to: institutions, cultural styles, laws, religious beliefs and practices, and systems of thought that influenced neighboring peoples and have endured for several centuries.",
Spirit/spiritual,7,World History and Geography,7--H1.4.2,Describe and use themes of history to study patterns of change and continuity.,"Examples may include but are not limited to: several lists of history themes are available, including: SPEC (social, political, economic, and cultural) and the World History For Us All1 themes (Patterns of Population; Economic Networks and Exchange; Uses and Abuses of Power; Haves and Have-Nots; Expressing Identity; Science, Technology, and the Environment; and Spiritual Life and Moral Codes).",
Holiday,N/a,,,,,
Christian/Christmas/Christianity,8,US History,8 U4.3.5,Investigate the role of religion in shaping antebellum reform movements,Examples may include but are not limited to: differences in beliefs by different denominations of Christianity.,
Christian/Christmas/Christianity,7,World History and Geography,7 W3.2.1,"Identify and describe the core beliefs of major world religions and belief systems, including Hinduism, Judaism, Buddhism, Christianity, Confucianism, Sikhism and Islam.","Examples may include, but are not limited to: comparing major figures, sacred texts, and basic beliefs (ethnic vs. universalizing; monotheistic vs. polytheistic) among religions; case studies of continuity of local indigenous belief systems or animistic religions; comparisons with religious traditions that developed after 1500 CE such as Protestantism.",
Muslim/Islam/Ramadan,7,World History and Geography,7 W3.2.1,"Identify and describe the core beliefs of major world religions and belief systems, including Hinduism, Judaism, Buddhism, Christianity, Confucianism, Sikhism and Islam.",,
Islamic,7,World History and Geography,7-- H1.1.1,Compare and contrast several different calendar systems used in the past and present and their cultural significance.,Examples may include but are not limited to: sundial; lunar solar; Gregorian calendar: BC/AD; contemporary secular: BCE/CE; Chinese; Hebrew; Islamic/Hijri.,
Jew/Judaism/Hanukkah/Holocaust,7,World History and Geography,7 W3.2.1,"Identify and describe the core beliefs of major world religions and belief systems, including Hinduism, Judaism, Buddhism, Christianity, Confucianism, Sikhism and Islam.",,
Hebrew,7,World History and Geography,7-- H1.1.1,Compare and contrast several different calendar systems used in the past and present and their cultural significance.,Examples may include but are not limited to: sundial; lunar solar; Gregorian calendar: BC/AD; contemporary secular: BCE/CE; Chinese; Hebrew; Islamic/Hijri.,(Not a keyword but noticed HEBREW)
Hinduism,7,World History and Geography,7 W3.2.1,"Identify and describe the core beliefs of major world religions and belief systems, including Hinduism, Judaism, Buddhism, Christianity, Confucianism, Sikhism and Islam.",,
Buddhism,7,World History and Geography,7 W3.2.1,"Identify and describe the core beliefs of major world religions and belief systems, including Hinduism, Judaism, Buddhism, Christianity, Confucianism, Sikhism and Islam.",,
Sikhism,7,World History and Geography,7 W3.2.1,"Identify and describe the core beliefs of major world religions and belief systems, including Hinduism, Judaism, Buddhism, Christianity, Confucianism, Sikhism and Islam.",,
Mormon,,N/a,,,,
Kwanzaa,,N/a,,,,
Genocide,,N/a,,,,
Persecution,,N/a,,,,
Church,,N/a,,,,
Mosque,,N/a,,,,
Temple,,N/a,,,,
Synagogue,,N/a,,,,
Pilgrim/pilgrimage,,N/a,,,,
Mission/Missionary/missionaries,,N/a,,,,
shaman,,N/a,,,,
god,,N/a,,,,
Protestant,7,World History and Geography,W3.2.1,"Explain how world religions or belief systems of Hinduism, Judaism, Buddhism, Christi-anity, Confucianism, Sikhism, and Islam grew and their significance (Sikhism and Islam are included here even though they came after 300 CE). The world s major faiths and ethical systems emerged, establishing institutions, systems of thought, and cultural styles that would influence neighboring peoples and endure for centuries.","Examples may include, but are not limited to: comparing major figures, sacred texts, and basic beliefs (ethnic vs. universalizing; monotheistic vs. polytheistic) among religions; case studies of continuity of local indigenous belief systems or animistic religions; comparisons with religious traditions that developed after 1500 CE such as Protestantism.",
Theocratic,,,,,,
theocracy,6,World Geography / C3 Structure and Functions of Government,C3.6 Characteristics of Nation States,"6 -- C3.6.2. Compare and contrast various forms of government around the world. Examples may include but are not limited to: democracies, parliamentary systems, dictatorships, oligarchies, and theocracies.",,
Antisemitism,,,,,,
Israelite & Hebrew,7,World History and Geography,H1.1.1,Compare and contrast several different calendar systems used in the past and present and their cultural significance.,Examples may include but are not limited to: sundial; lunar solar; Gregorian calendar: BC/AD; contemporary secular: BCE/CE; Chinese; Hebrew; Islamic/Hijri.,
Confucian/Confucianism/Confucius,7,World History and Geography,W3.2.1,"Explain how world religions or belief systems of Hinduism, Judaism, Buddhism, Christi-anity, Confucianism, Sikhism, and Islam grew and their significance (Sikhism and Islam are included here even though they came after 300 CE). The world s major faiths and ethical systems emerged, establishing institutions, systems of thought, and cultural styles that would influence neighboring peoples and endure for centuries.",,
Jain/Jainism,,,,,,
Tao/Taoism/Dao/Danish/Lao Tzu/Laozi,,,,,,
Shinto/Shintoism,,,,,,
Zoroastrianism,,,,,,
Bahai/Baha 'i,,,,,,
theology,,,,,,
catholic,,,,,,
diwali,,,,,,
Holi,,,,,,
Holy,,,,,,
