State,Rhode Island,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
RI,Format of Standards Document,chart,,,
RI,Keyword,Grade/Area,Inquiry Topic,Standard Number,Guiding Questions/Assessment Objective
RI,Religion/Religious,6,2. Human Origins and the Development of Complex Societies2,SS6.2.1,"GQ: What does evidence of art, language, and religion tell us about Homo sapiens? AO: Identify the characteristics of early Homo sapiens (e.g., art, language, religion), and explain how these characteristics lead to our understanding of how they lived and how culture developed"
RI,Religion/Religious,6,2. Human Origins and the Development of Complex Societies,SS6.2.3,"AO: Identify the characteristics of a complex society (e.g., economy that produces food surplus and ability to store food surplus, specialized jobs, systems for government, religion, art, technology) and analyze how those characteristics influenced social life AO: Analyze the interaction between and spread of complex societies (e.g., migration, trade, agriculture, exchange of culture and/or language, religious conversion, colonization)"
RI,Religion/Religious,6,3. The First States (4000 - 1200 BCE),SS6.3.1,"AO: Identify early river cities on a map (e.g., Mesopotamia, Old Kingdom Egypt, Indus Valley, Yellow and Yangzi River basin), and analyze their government structures, leaders, laws, economic systems, religion and belief systems, social hierarchies, technological and social innovations, and relationship to the environment"
RI,Religion/Religious,6,3. The First States (4000 - 1200 BCE),SS6.3.2,"AO: Identify the locations of territorial states (e.g., Middle Kingdom Egypt, Mesopotamia Kingship, Vedic peoples, Shang State), and analyze their ethnic identity, government, and techniques of coexistence with other territorial states, response to environmental changes, trade networks, labor systems, and religion"
RI,Religion/Religious,6,5: Encounters in the Afro-Eurasian World (350 BCE - 300 CE),SS6.5.2,"Analyze the development and use of the Silk Road and the role of caravan cities, and argue the impacts of the economic, cultural, and religious changes it brought"
RI,Religion/Religious,6,Inquiry Topic 6: Rise and Influence of World Religions Compelling Question: Does religion define a people?,SS6.6.1,"Guiding Questions for Instruction: What were the beliefs and religious practices of each religion? How did religious practices change and develop over time? How did the environment, history of the religion s people, and their interactions with other societies shape the religion? How did each of the major religions influence the development of society and culture? AO: a. Analyze the definition and characteristics of universalizing religion b. Analyze the beliefs and religious practices of Hinduism, Judaism, Buddhism, Christianity, and Islam, their development, and how they changed over time (e.g., central teachings, influence of the environment on teachings, social stratification within the religion, religious texts, religious observations)"
RI,Religion/Religious,6,Inquiry Topic 6: Rise and Influence of World Religions Compelling Question: Does religion define a people?,SS6.6.2,"Guiding Questions for Instruction: What were the beliefs and religious practices of each religion and how did they change over time? How and why is there a relationship between political unity and religious development in these religions? AO: Explain the beliefs and religious practices of Bantus of Sub-Saharan Africa, Teotihuacanos of Mesoamerica, and Mayans in the Yucatan and their development, and analyze how they changed over time (e.g., central teachings, influence of the environment on teachings, social stratification within the religion, religious texts, religious observations)"
RI,Religion/Religious,6,7: Global Trade (300 CE - 1300 CE),SS6.7.1,"GQ: What was the relationship between religion, empire, and commercial exchange across Africa, Europe, and Asia during this period?"
RI,Religion/Religious,6,7: Global Trade (300 CE - 1300 CE),SS6.7.2,**these refer to specific examples
RI,Religion/Religious,7,1: The World in 1300 CE,SS7.1.1,"GQ: What role did each of the major religions play in the development of society and culture? AO: Identify the five major world religions Hinduism, Judaism, Buddhism, Christianity, and Islam, and analyze their influences on society and culture in 1300 CE"
RI,Religion/Religious,7,2: Global Convergence (1300 - 1850 CE),SS7.2.3,AO: Analyze the shift of enslavement from religious and culturally based to race based
RI,Religion/Religious,7,3: Impact of Ideas (1500 - 1750 CE),SS7.3.1,Guiding Questions for Instruction: How and why did religions change and spread during the early modern period? What were the responses of ordinary individuals to religious changes around the world?
RI,Religion/Religious,7,4: Political and Social Revolutions (1750 - 1920 CE),SS7.4.2,"AO: e. Analyze the Opium Wars (1839-1860) and the Taiping Rebellion (1850-1864), and argue the impact on China s economy, politics, religions, and its population and who benefited"
RI,Religion/Religious,8,2: The Development of the United States government,SS8.2.1,"AO: Analyze the backgrounds (race, gender, occupation, religion, age, location, and view of slavery) of the Declaration of Independence signatories, and argue the effect that their perspectives had on their political views"
RI,Religion/Religious,8,"5: The Constitution, Amendments, and Supreme Court decisions",SS8.5.1,"AO: d. Analyze the laws or executive orders expanding civil rights and equal protection for race, religion, gender, sexuality, and disability that demonstrate the evolving protections to civil rights (e.g., 1964 Civil Rights Act, 1965 Voting Rights Act, 1972 Title IX, 1972 Equal Employment Act, 1990 American with Disabilities Act, 2014 Executive Order 13672, 2022 Executive Order 14076), and argue their impact"
RI,Religion/Religious,8,"5: The Constitution, Amendments, and Supreme Court decisions",SS8.5.2,"AO: Analyze the effects of major court interpretations addressing freedom of religion, assembly, press, petition, and speech under the first Amendment; the due process clause and the equal protection clause of the fourteenth Amendment; and cases where individual rights conflicted with community or national beliefs"
RI,Religion/Religious,8,6: Rights and Responsibilities of Citizens,SS8.6.1,"AO: Analyze the freedoms for all individuals existing in civic, political, and private life despite legal citizenship (e.g., labor rights, children s rights, cultural freedoms, religious freedoms, rights to subsistence, education, health care), and argue the impacts across different populations"
RI,Spirit/Spiritual,NA,,,
RI,Holiday,NA,,,
RI,God,NA,,,
RI,Theocracy,NA,,,
RI,Christian/Christianity,6,6: Rise and Influence of World Religions,SS6.6.1,"AO: Analyze the beliefs and religious practices of Hinduism, Judaism, Buddhism, Christianity, and Islam, their development, and how they changed over time (e.g., central teachings, influence of the environment on teachings, social stratification within the religion, religious texts, religious observations) c. Analyze the history of Hinduism, Judaism, Buddhism, Christianity, and Islam, how they spread, the role of empires on their development, d. Argue the impacts of Hinduism, Judaism, Buddhism, Christianity, and Islam on the development of societies and cultures e. Argue the ways Hinduism, Judaism, Buddhism, Christianity, and Islam continue to influence society and culture today"
RI,Christian/Christianity,6,7: Global Trade (300 CE - 1300 CE),SS6.7.2,"GQ: What influence did Christianity have over Europe? AO: Analyze the spread of Christianity across Africa, Europe, and Asia including the role of the Vikings, Charlemagne, the Roman Catholic Church, the Greek Orthodox Church, and the Crusades, and argue its political and cultural impacts on societies"
RI,Christian/Christianity,7,1: The World in 1300 CE,SS7.1.1,"AO: Identify the five major world religions Hinduism, Judaism, Buddhism, Christianity, and Islam, and analyze their influences on society and culture in 1300 CE"
RI,Christian/Christianity,7,3: Impact of Ideas (1500 - 1750 CE),SS7.3.2,"AO: Explain the historical roots of the Scientific Revolution in Greco-Roman rationalism, Jewish, Christian, and Muslim science, and Renaissance humanism, analyze their influences on astronomy, mathematics, engineering, and human anatomy, and argue the impacts on society and culture"
RI,Christmas,NA,,,
RI,Catholic,6,,SS6.7.2,"Analyze the spread of Christianity across Africa, Europe, and Asia including the role of the Vikings, Charlemagne, the Roman Catholic Church, the Greek Orthodox Church, and the Crusades, and argue its political and cultural impacts on societies"
RI,Catholic,7,3: Impact of Ideas (1500 - 1750 CE),SS7.3.1,"AO: a. Explain the Protestant Reformation, counter-Reformation from the Catholic Church, and the Spanish Inquisition, and argue their impact on society"
RI,Protestant,NA,,,
RI,Mormon,NA,,,
RI,Muslim,7,3: Impact of Ideas (1500 - 1750 CE),SS7.3.2,"Explain the historical roots of the Scientific Revolution in Greco-Roman rationalism, Jewish, Christian, and Muslim science, and Renaissance humanism, analyze their influences on astronomy, mathematics, engineering, and human anatomy, and argue the impacts on society and culture"
RI,Islam,7,,SS7.1.1,"AO:Identify the five major world religions Hinduism, Judaism, Buddhism, Christianity, and Islam, and analyze their influences on society and culture in 1300 CE"
RI,Islam,6,,SS6.6.1,"AO: Analyze the beliefs and religious practices of Hinduism, Judaism, Buddhism, Christianity, and Islam, their development, and how they changed over time (e.g., central teachings, influence of the environment on teachings, social stratification within the religion, religious texts, religious observations) c. Analyze the history of Hinduism, Judaism, Buddhism, Christianity, and Islam, how they spread, the role of empires on their development, d. Argue the impacts of Hinduism, Judaism, Buddhism, Christianity, and Islam on the development of societies and cultures e. Argue the ways Hinduism, Judaism, Buddhism, Christianity, and Islam continue to influence society and culture today"
RI,Islam,6,,SS6.7.2,"GQ: What regional distinctions arose in Islam because of its spread, and what impact did its spread have in Africa, Europe, and Asia? AO: Analyze the decentralization and spread of Islam in places such as Cordoba in Spain, Ghana in West Africa, and Baghdad in Central Asia, and argue the impacts of its growing influence and division"
RI,Jew/Jewish,7,,SS7.3.2,"AO: Explain the historical roots of the Scientific Revolution in Greco-Roman rationalism, Jewish, Christian, and Muslim science, and Renaissance humanism, analyze their influences on astronomy, mathematics, engineering, and human anatomy, and argue the impacts on society and culture"
RI,Jew/Jewish,7,,SS7.6.2,"AO: Analyze the nature and course of the Holocaust (e.g., the history of antisemitism around the world, Nazi ideology and politics, Nuremberg Laws, Kristallnacht, ghettos, concentration camps, killing centers, Jewish and non-Jewish resistance, Warsaw Ghetto Uprising, other Nazi victims including LGBTQIA+ individuals, persons with disabilities, Roma, and political activists, and the final solution), and argue its impact on the people of Europe Analyze the consequences, and argue the impacts of World War II (e.g., the loss of Jewish life and community, military and civilian casualties, the Nuremberg Trials, the Yalta Conference, division of Germany and Austria into Soviet and allied sectors, and the Iron Curtain )"
RI,Jew/Jewish,8,,SS8.6.5,"AO: Analyze human rights violations and genocides (e.g., Armenian genocide, Jewish Holocaust, Cambodian genocide, Rwandan genocide, human trafficking, child labor, modern slavery) and the ways nations and organizations intervene"
RI,Judaism,6,6: Rise and Influence of World Religions,SS6.6.1,"AO: Analyze the beliefs and religious practices of Hinduism, Judaism, Buddhism, Christianity, and Islam, their development, and how they changed over time (e.g., central teachings, influence of the environment on teachings, social stratification within the religion, religious texts, religious observations) c. Analyze the history of Hinduism, Judaism, Buddhism, Christianity, and Islam, how they spread, the role of empires on their development, d. Argue the impacts of Hinduism, Judaism, Buddhism, Christianity, and Islam on the development of societies and cultures e. Argue the ways Hinduism, Judaism, Buddhism, Christianity, and Islam continue to influence society and culture today"
RI,Judaism,,,SS7.1.1,"AO:Identify the five major world religions Hinduism, Judaism, Buddhism, Christianity, and Islam, and analyze their influences on society and culture in 1300 CE"
RI,Hanukkah,NA,,,
RI,Holocaust,7,,SS7.6.2,"GQ: What conditions, ideologies, and ideas led to the Holocaust? AO: a. Explain the definitions of totalitarianism, communism, socialism, fascism, and holocaust, and analyze where and why these ideas gained popularity d. Analyze the nature and course of the Holocaust (e.g., the history of antisemitism around the world, Nazi ideology and politics, Nuremberg Laws, Kristallnacht, ghettos, concentration camps, killing centers, Jewish and non-Jewish resistance, Warsaw Ghetto Uprising, other Nazi victims including LGBTQIA+ individuals, persons with disabilities, Roma, and political activists, and the final solution), and argue its impact on the people of Europe"
RI,Holocaust,8,,SS8.6.5,"AO: c. Analyze human rights violations and genocides (e.g., Armenian genocide, Jewish Holocaust, Cambodian genocide, Rwandan genocide, human trafficking, child labor, modern slavery) and the ways nations and organizations intervene"
RI,Antisemitism,7,,SS7.6.2,"AO: Analyze the nature and course of the Holocaust (e.g., the history of antisemitism around the world, Nazi ideology and politics, Nuremberg Laws, Kristallnacht, ghettos, concentration camps, killing centers, Jewish and non-Jewish resistance, Warsaw Ghetto Uprising, other Nazi victims including LGBTQIA+ individuals, persons with disabilities, Roma, and political activists, and the final solution), and argue its impact on the people of Europe"
RI,Israel/Israelite,NA,,,
RI,Hebrew,NA,,,
RI,Hindu(ism),6,6: Rise and Influence of World Religions,SS6.6.1,"AO: Analyze the beliefs and religious practices of Hinduism, Judaism, Buddhism, Christianity, and Islam, their development, and how they changed over time (e.g., central teachings, influence of the environment on teachings, social stratification within the religion, religious texts, religious observations) c. Analyze the history of Hinduism, Judaism, Buddhism, Christianity, and Islam, how they spread, the role of empires on their development, d. Argue the impacts of Hinduism, Judaism, Buddhism, Christianity, and Islam on the development of societies and cultures e. Argue the ways Hinduism, Judaism, Buddhism, Christianity, and Islam continue to influence society and culture today"
RI,Hindu(ism),7,,SS7.1.1,"AO:Identify the five major world religions Hinduism, Judaism, Buddhism, Christianity, and Islam, and analyze their influences on society and culture in 1300 CE"
RI,Buddhism/Buddhist/Buddha,6,6: Rise and Influence of World Religions,SS6.6.1,"AO: Analyze the beliefs and religious practices of Hinduism, Judaism, Buddhism, Christianity, and Islam, their development, and how they changed over time (e.g., central teachings, influence of the environment on teachings, social stratification within the religion, religious texts, religious observations) c. Analyze the history of Hinduism, Judaism, Buddhism, Christianity, and Islam, how they spread, the role of empires on their development, d. Argue the impacts of Hinduism, Judaism, Buddhism, Christianity, and Islam on the development of societies and cultures e. Argue the ways Hinduism, Judaism, Buddhism, Christianity, and Islam continue to influence society and culture today"
RI,Buddhism/Buddhist/Buddha,6,,SS6.4.2,"AO: c. Analyze the intellectual changes across Africa, Europe, and Asia (e.g., Master Kong Fuzi or Confucius, Daoism, Siddhartha Gautama or the Buddha, Zoroastrianism, Greek philosophers and thinkers), and argue the impacts of those changes"
RI,Buddhism/Buddhist/Buddha,7,,SS7.1.1,"AO:Identify the five major world religions Hinduism, Judaism, Buddhism, Christianity, and Islam, and analyze their influences on society and culture in 1300 CE"
RI,Sikh/Sikhism/Sikhi,7,,SS7.3.1,"AO: b. Explain the foundation of Sikhism by Guru Nanak in South Asia, and analyze its influence"
RI,Mosque,NA,,,
RI,Temple,NA,,,
RI,Synagogue,NA,,,
RI,Church,6,,SS6.7.2,"AO: b. Analyze the spread of Christianity across Africa, Europe, and Asia including the role of the Vikings, Charlemagne, the Roman Catholic Church, the Greek Orthodox Church, and the Crusades, and argue its political and cultural impacts on societies"
RI,Church,7,,SS7.3.1,"Explain the Protestant Reformation, counter-Reformation from the Catholic Church, and the Spanish Inquisition, and argue their impact on society"
RI,Genocide,7,,SS7.6.1,"GQ: What role did nationalism play in the Armenian genocide? AO: Analyze the Armenian genocide from 1915-1916 and the role of the Near East Relief organization, and argue the impact on Armenian society"
RI,Genocide,8,,SS8.6.5,"Analyze human rights violations and genocides (e.g., Armenian genocide, Jewish Holocaust, Cambodian genocide, Rwandan genocide, human trafficking, child labor, modern slavery) and the ways nations and organizations intervene"
RI,Persecution,NA,,,
RI,Pilgrim/Pilgrimage,NA,,,
RI,Mission/Missionaries,NA,,,
RI,Shaman,NA,,,
RI,Bahai/Baha 'i,NA,,,
RI,Confucian/Confucianism/Confucius,6,,SS6.4.2,"AO: Analyze the intellectual changes across Africa, Europe, and Asia (e.g., Master Kong Fuzi or Confucius, Daoism, Siddhartha Gautama or the Buddha, Zoroastrianism, Greek philosophers and thinkers), and argue the impacts of those changes"
RI,Confucian/Confucianism/Confucius,6,,SS6.7.2,"GQ: What was the political and cultural impact of Confucianism across Asia? AO: Explain the philosophy of Confucianism, analyze its spread across Asia, and argue its impact"
RI,Confucian/Confucianism/Confucius,7,,SS7.3.1,"AO: Explain the reformation of neo-Confucian teachings and practices of Wang Yangming in China, and analyze its influenc"
RI,Jain/Jainism,NA,,,
RI,Shinto,NA,,,
RI,Tao/Taoism/Dao/Daoism/,NA,,,
RI,Lao Tzu/Laozi,NA,,,
RI,Zoroastrianism,6,,SS6.4.2,"AO: Analyze the intellectual changes across Africa, Europe, and Asia (e.g., Master Kong Fuzi or Confucius, Daoism, Siddhartha Gautama or the Buddha, Zoroastrianism, Greek philosophers and thinkers), and argue the impacts of those changes"
