Utah,,,,https://www.schools.utah.gov/curr/socialstudies/utah_core_standards/UtahCoreStandardsforSocialStudiesGrades712.pdf
Keyword,Grade/Course,Strand,Number,Standards
Religion/Religious,Grade 6,World Civilivations,6.1.2,"Throughout their study of world history, recognize the origins of major world religions (including Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism). Evaluate the role religion played in the development of civ- ilizations, colonization, imperialism, and independence movements."
Religion/Religious,Grade 6,Globalization,6.2.1,"Summarize key tenets of the major world religions (includ- ing Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism)."
Religion/Religious,Grade 6,,6.2.2,"Use primary and secondary sources to explain how the spread of religious ideas during the post-classical era influenced globalization (for example, spread of Islam, Crusades, cultural expression through art and architecture, Reformation)."
Religion/Religious,Grade 6,"OUR MODERN WORLD (WORLD RELIGIONS, COLD WAR ERA, CURRENT GLOBAL EVENTS/ ISSUES)",,"***This is strange. The strand title includes World Religions, but none of the actual standards are directly connected to religion"
Religion/Religious,Grade 6,"OUR MODERN WORLD (WORLD RELIGIONS, COLD WAR ERA, CURRENT GLOBAL EVENTS/ ISSUES)",Guiding question,"""What are some of the commonalities found in major world religions?"""
Religion/Religious,Utah History,Utah's Diverse Peoples,UT.2.4,"Students will research multiple perspectives to explain one or more of the political, social, cultural, religious conflicts of this period, including the U.S. Civil War and more localized conflicts such as the Utah War, the Mountain Meadows Massacre, the Bear River Massacre, the Black Hawk War, or other Federal-Mormon conflicts. (history)"
Religion/Religious,Utah History,Utah in the World,Guiding question,How do various ethnic and religious communities in Utah maintain and celebrate their unique cultures?
Religion/Religious,US History 1,Utah in the World,UT.4.4,"Students will use data and other evidence related to a cultural, ethnic, or religious group in Utah to interpret the group s historic/current condi- tions and experiences. (history, geography)"
Religion/Religious,US History 1,Colonization,Guiding question,What role did the concepts of self-government and religious freedom play in the colonial era?
,,,,
Theocracy,,World Civilizations,6.1.6,"Compare the purposes and functions of early governments (for example, monarchy, oligarchy, tyranny, pure democracy, republic, theocracy) to modern governments."
Spirit,,,,
God,,,,
Holiday,,,,
,,,,
Christian/Christmas,Grade 6,Globalization,6.2.1,"Summarize key tenets of the major world religions (includ- ing Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism)."
Christian/Christmas,Grade 6,Globalization,6.2.1,"Summarize key tenets of the major world religions (includ- ing Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism)."
,,,,
Catholic,,,,
Protestant,,,,
Mormon,Utah History,Utah's Diverse People,GQ,How did Mormons interrelate with other immigrant groups in Utah?
Mormon,Utah History,Utah's Diverse People,UT.2.1,Students will explain the causes and lasting effects of the Mormon mi- gration to Utah. (history)
Mormon,Utah History,Utah's Diverse People,UT.2.2,Students will compare the causes and lasting effects of various non-Mormon groups migrations to Utah. (history)
Mormon,Utah History,Utah's Diverse People,UT.2.4,"Students will research multiple perspectives to explain one or more of the political, social, cultural, religious conflicts of this period, including the U.S. Civil War and more localized conflicts such as the Utah War, the Mountain Meadows Massacre, the Bear River Massacre, the Black Hawk War, or other Federal-Mormon conflicts. (history)"
Orthodox,,,,
Jesus,,,,
Bible,,,,
,,,,
Muslim,,,,
Islam,Grade 6,World Civilivations,6.1.2,"Throughout their study of world history, recognize the origins of major world religions (including Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism). Evaluate the role religion played in the development of civ- ilizations, colonization, imperialism, and independence movements."
Islam,Grade 6,Globalization,6.2.1,"Summarize key tenets of the major world religions (includ- ing Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism)."
Islam,Grade 6,Globalization,6.2.2,"Use primary and secondary sources to explain how the spread of religious ideas during the post-classical era influenced globalization (for example, spread of Islam, Crusades, cultural expression through art and architecture, Reformation)."
Ramadan,,,,
Sunni/Shia,,,,
,,,,
Judaism,Grade 6,World Civilivations,6.1.2,"Throughout their study of world history, recognize the origins of major world religions (including Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism). Evaluate the role religion played in the development of civ- ilizations, colonization, imperialism, and independence movements."
Judaism,Grade 6,Globalization,6.2.1,"Summarize key tenets of the major world religions (includ- ing Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism)."
Jew(ish),,,,
Hanukkah/,,,,
Holocaust,,,,
Antisemitism,,,,
Israel/Israelite,,,,
Hebrew,,,,
Tanak,,,,
,,,,
Hindu/Hinduism,Grade 6,World Civilivations,6.1.2,"Throughout their study of world history, recognize the origins of major world religions (including Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism). Evaluate the role religion played in the development of civ- ilizations, colonization, imperialism, and independence movements."
,Grade 6,Globalization,6.2.1,"Summarize key tenets of the major world religions (includ- ing Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism)."
,,,,
Buddhism/Buddhist,Grade 6,World Civilivations,6.1.2,"Throughout their study of world history, recognize the origins of major world religions (including Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism). Evaluate the role religion played in the development of civ- ilizations, colonization, imperialism, and independence movements."
,Grade 6,Globalization,6.2.1,"Summarize key tenets of the major world religions (includ- ing Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism)."
,,,,
Sikh,Grade 6,World Civilivations,6.1.2,"Throughout their study of world history, recognize the origins of major world religions (including Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism). Evaluate the role religion played in the development of civ- ilizations, colonization, imperialism, and independence movements."
,Grade 6,Globalization,6.2.1,"Summarize key tenets of the major world religions (includ- ing Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism)."
,,,,
Mosque,,,,
Temple,,,,
Synagogue,,,,
Church,,,,
Genocide,,,,
Persecution,,,,
Pilgrim/Pilgrimage,,,,
Mission/missionary/missionaries,,,,
Shaman,,,,
,,,,
Bahai/Baha 'i,,,,
Confucian/Confucianism/Confucius,Grade 6,World Civilivations,6.1.2,"Throughout their study of world history, recognize the origins of major world religions (including Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism). Evaluate the role religion played in the development of civ- ilizations, colonization, imperialism, and independence movements."
Confucian/Confucianism/Confucius,Grade 6,Globalization,6.2.1,"Summarize key tenets of the major world religions (includ- ing Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism)."
Jain/Jainism,,,,
Tao/Taoism/Dao/Daoism/,Grade 6,World Civilivations,6.1.2,"Throughout their study of world history, recognize the origins of major world religions (including Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism). Evaluate the role religion played in the development of civ- ilizations, colonization, imperialism, and independence movements."
Tao/Taoism/Dao/Daoism/,Grade 6,Globalization,6.2.1,"Summarize key tenets of the major world religions (includ- ing Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism)."
Shinto/Shintoism,,,,
Zoroastrian,,,,
,,,,
Reformation,Grade 6,Globalization,6.2.2,"Use primary and secondary sources to explain how the spread of religious ideas during the post-classical era influenced globalization (for example, spread of Islam, Crusades, cultural expression through art and architecture, Reformation)."
Crusade,Grade 6,Globalization,6.2.2,"Use primary and secondary sources to explain how the spread of religious ideas during the post-classical era influenced globalization (for example, spread of Islam, Crusades, cultural expression through art and architecture, Reformation)."
